,AUC,PR AUC,Precision,Recall,F1 Score,CV AUC Mean,CV AUC Std
xgboost,0.8452790242646642,0.34365493800415486,0.4740484429065744,0.27331670822942644,0.34672571970895283,0.9802020034949905,0.0004664529682917257
lightgbm,0.8548656043406397,0.3560497127114456,0.4253535882661079,0.4049875311720698,0.41492079713847724,0.9830193963505138,0.0003277108192317152
random_forest,0.8368901019464199,0.31475853060785225,0.3978794642857143,0.35561097256857854,0.3755596523571241,0.987097811412202,0.00023372817808964437
logistic_regression,0.5713433686724428,0.07998121366481964,0.0,0.0,0.0,0.5788519681899327,0.012329273098695737
catboost,0.8532958370282545,0.3495031337213514,0.39492753623188404,0.4349127182044888,0.4139568003797769,0.9704810283116723,0.00039942721401825434
